Id Mode logP wjh wjk whk wvj wvh wvk wij wih wik whvi ejh ejk ehk evj evh evk eij eih eik ehvi 
0652 FU 0.430 14.012 14.263 14.447 14.536 14.667 14.360 14.590 14.280 14.352 14.342 0.229 0.121 0.254 0.100 0.094 0.086 0.132 0.101 0.088 0.096 
0662 FU 0.471 14.013 14.358 14.611 14.476 14.635 14.405 14.511 14.244 14.402 14.318 0.185 0.102 0.222 0.073 0.068 0.076 0.100 0.088 0.078 0.084 
0666 FO 0.276 14.173 14.245 14.300 14.543 14.673 14.350 14.582 14.363 14.337 14.413 0.224 0.094 0.239 0.079 0.075 0.067 0.107 0.110 0.069 0.104 
0667 FO 0.127 14.647 14.821 14.950 15.165 15.299 14.942 15.246 14.924 14.937 14.963 0.184 0.123 0.233 0.090 0.083 0.091 0.119 0.076 0.093 0.073 
0677 FO 0.275 14.160 14.429 14.626 14.548 14.661 14.474 14.592 14.360 14.474 14.407 0.125 0.074 0.160 0.051 0.046 0.057 0.074 0.062 0.059 0.061 
0681 FU 0.581 13.642 13.867 14.033 14.168 14.331 13.975 14.220 13.909 13.964 13.981 0.110 0.052 0.118 0.049 0.044 0.037 0.072 0.054 0.039 0.054 
0687 FU 0.527 13.956 14.093 14.194 14.326 14.479 14.177 14.380 14.153 14.171 14.193 0.138 0.065 0.152 0.055 0.050 0.047 0.079 0.068 0.049 0.067 
0693 FU 0.578 13.597 13.892 14.109 14.142 14.334 13.983 14.161 13.858 13.967 13.967 0.098 0.068 0.133 0.047 0.041 0.052 0.070 0.047 0.054 0.049 
0694 FO 0.042 14.888 15.214 15.453 15.363 15.469 15.269 15.379 15.115 15.260 15.200 0.222 0.128 0.286 0.077 0.073 0.099 0.104 0.110 0.101 0.104 
0697 FU 0.661 13.461 13.703 13.882 13.898 14.070 13.776 13.934 13.680 13.767 13.752 0.085 0.041 0.095 0.037 0.032 0.030 0.061 0.045 0.032 0.047 
0699 FO 0.355 13.879 14.034 14.149 14.265 14.414 14.117 14.281 14.066 14.102 14.142 0.117 0.065 0.143 0.048 0.043 0.049 0.071 0.059 0.051 0.059 
0702 FU 0.694 13.301 13.535 13.707 13.771 13.968 13.622 13.780 13.524 13.604 13.628 0.132 0.086 0.171 0.061 0.055 0.065 0.085 0.060 0.067 0.060 
0708 FU 1.018 12.189 12.420 12.591 12.622 12.791 12.495 12.672 12.413 12.490 12.470 0.077 0.038 0.076 0.042 0.036 0.026 0.065 0.037 0.028 0.040 
0709 FU 0.498 13.772 14.176 14.472 14.374 14.526 14.249 14.428 14.076 14.246 14.156 0.157 0.087 0.175 0.074 0.068 0.062 0.101 0.068 0.064 0.067 
0714 FO 0.195 14.331 14.624 14.840 14.870 15.011 14.712 14.887 14.588 14.696 14.689 0.199 0.111 0.241 0.078 0.073 0.083 0.106 0.095 0.085 0.090 
0715 FU 0.460 13.993 14.217 14.383 14.566 14.749 14.342 14.618 14.283 14.327 14.364 0.159 0.096 0.213 0.055 0.051 0.075 0.079 0.082 0.077 0.079 
0716 FU 1.086 12.117 12.335 12.496 12.636 12.839 12.444 12.710 12.392 12.438 12.449 0.067 0.030 0.069 0.034 0.028 0.021 0.057 0.037 0.024 0.040 
0721 FU 0.466 13.973 14.227 14.415 14.550 14.763 14.344 14.579 14.254 14.325 14.362 0.167 0.095 0.198 0.072 0.067 0.070 0.098 0.077 0.072 0.074 
0723 FU 0.590 13.602 14.025 14.336 14.254 14.392 14.108 14.328 13.938 14.108 14.007 0.146 0.130 0.225 0.086 0.078 0.099 0.114 0.047 0.101 0.049 
0727 FU 1.161 11.809 11.947 12.049 12.054 12.261 11.991 12.103 11.946 11.991 11.978 0.111 0.048 0.111 0.050 0.045 0.032 0.073 0.054 0.034 0.054 
0729 FU 0.514 13.778 14.010 14.181 14.204 14.370 14.082 14.227 13.986 14.071 14.066 0.128 0.076 0.149 0.063 0.057 0.055 0.088 0.056 0.057 0.056 
0732 FO 0.698 12.725 12.932 13.085 13.097 13.270 12.994 13.142 12.919 12.991 12.971 0.058 0.036 0.073 0.032 0.026 0.028 0.056 0.033 0.030 0.037 
0733 FO 0.102 14.673 14.885 15.041 15.222 15.343 15.003 15.280 14.954 14.992 15.017 0.204 0.161 0.310 0.090 0.084 0.125 0.119 0.090 0.128 0.086 
0735 FO 0.088 14.417 14.632 14.790 14.939 15.060 14.740 14.906 14.644 14.707 14.783 0.254 0.134 0.266 0.122 0.113 0.092 0.158 0.103 0.094 0.097 
0740 FO 0.392 13.767 13.963 14.108 14.088 14.236 14.011 14.096 13.920 14.001 13.992 0.094 0.067 0.131 0.046 0.040 0.052 0.069 0.045 0.054 0.047 
0741 FU 1.033 11.954 12.241 12.452 12.483 12.643 12.329 12.518 12.215 12.318 12.302 0.086 0.035 0.077 0.044 0.038 0.021 0.067 0.041 0.024 0.044 
0744 FU 0.429 14.043 14.383 14.633 14.623 14.759 14.469 14.663 14.330 14.460 14.416 0.194 0.118 0.222 0.097 0.090 0.084 0.128 0.077 0.086 0.074 
0752 FU 0.489 13.841 14.132 14.347 14.529 14.653 14.271 14.597 14.190 14.258 14.269 0.155 0.086 0.185 0.065 0.060 0.064 0.090 0.074 0.066 0.071 
0757 FU 0.924 12.732 12.883 12.995 13.057 13.264 12.950 13.156 12.929 12.959 12.930 0.069 0.034 0.063 0.041 0.035 0.022 0.064 0.033 0.025 0.037 
0759 FU 0.698 13.272 13.600 13.841 13.844 13.999 13.688 13.921 13.572 13.688 13.627 0.093 0.069 0.131 0.048 0.042 0.053 0.071 0.043 0.055 0.045 
0761 FU 0.411 14.006 14.337 14.581 14.613 14.721 14.435 14.642 14.300 14.421 14.396 0.175 0.101 0.216 0.071 0.066 0.076 0.097 0.083 0.078 0.079 
0764 FO 0.365 13.789 14.025 14.199 14.277 14.409 14.115 14.325 14.037 14.107 14.100 0.145 0.091 0.164 0.078 0.072 0.064 0.106 0.055 0.066 0.055 
0770 FU 1.036 12.191 12.419 12.586 12.618 12.802 12.493 12.675 12.416 12.490 12.468 0.094 0.036 0.092 0.042 0.037 0.024 0.065 0.048 0.027 0.049 
0771 FO 0.333 14.047 14.202 14.316 14.348 14.484 14.256 14.392 14.207 14.255 14.242 0.149 0.067 0.175 0.046 0.043 0.052 0.069 0.080 0.054 0.077 
0776 FU 0.838 12.751 12.903 13.015 13.093 13.248 12.973 13.132 12.928 12.966 12.977 0.074 0.049 0.090 0.043 0.037 0.036 0.066 0.034 0.038 0.038 
0778 FU 0.490 13.939 14.200 14.393 14.439 14.578 14.286 14.515 14.205 14.286 14.246 0.194 0.095 0.193 0.093 0.086 0.063 0.123 0.081 0.065 0.078 
0779 FU 0.408 14.241 14.421 14.553 14.606 14.757 14.489 14.681 14.445 14.492 14.465 0.135 0.065 0.149 0.055 0.050 0.047 0.079 0.066 0.049 0.065 
0784 FO -0.037 14.690 15.095 15.393 15.651 15.722 15.285 15.703 15.158 15.259 15.289 0.233 0.212 0.420 0.080 0.076 0.172 0.108 0.116 0.175 0.109 
0787 FU 1.244 11.516 11.737 11.900 11.978 12.178 11.826 12.048 11.762 11.822 11.813 0.107 0.031 0.099 0.042 0.037 0.018 0.065 0.056 0.021 0.056 
0789 FO 0.443 13.312 13.678 13.948 14.199 14.267 13.856 14.303 13.769 13.846 13.840 0.122 0.074 0.144 0.061 0.055 0.054 0.085 0.053 0.056 0.054 
0795 FO 0.533 13.335 13.542 13.695 13.734 13.872 13.612 13.771 13.537 13.605 13.595 0.107 0.082 0.164 0.045 0.040 0.065 0.068 0.054 0.067 0.054 
0798 FU 1.030 12.150 12.420 12.618 12.640 12.838 12.502 12.679 12.396 12.492 12.478 0.058 0.027 0.063 0.030 0.023 0.020 0.053 0.034 0.023 0.038 
0799 FO 0.282 14.147 14.329 14.463 14.438 14.579 14.371 14.452 14.289 14.364 14.350 0.133 0.097 0.201 0.049 0.044 0.077 0.072 0.068 0.079 0.067 
0800 FU 1.102 11.874 12.128 12.314 12.423 12.599 12.234 12.439 12.136 12.213 12.246 0.111 0.047 0.122 0.041 0.037 0.035 0.064 0.059 0.037 0.059 
0801 FU 1.328 11.208 11.387 11.520 11.684 11.871 11.494 11.756 11.462 11.488 11.510 0.097 0.037 0.098 0.040 0.035 0.025 0.063 0.051 0.027 0.052 
0803 FO 0.424 13.588 13.770 13.904 14.025 14.168 13.861 14.015 13.786 13.838 13.895 0.091 0.060 0.121 0.043 0.038 0.046 0.066 0.045 0.048 0.047 
0809 FO 0.294 13.940 14.209 14.407 14.351 14.479 14.262 14.318 14.116 14.241 14.237 0.204 0.080 0.201 0.080 0.075 0.053 0.108 0.097 0.055 0.092 
0812 FU 1.086 11.878 12.160 12.368 12.423 12.617 12.256 12.460 12.148 12.243 12.241 0.073 0.028 0.064 0.038 0.033 0.017 0.061 0.037 0.020 0.040 
0813 FO 0.772 12.490 12.638 12.748 12.820 12.982 12.705 12.867 12.665 12.702 12.706 0.080 0.032 0.090 0.030 0.024 0.025 0.053 0.046 0.027 0.048 
0819 FU 1.349 11.214 11.387 11.516 11.642 11.870 11.482 11.743 11.459 11.485 11.480 0.079 0.040 0.092 0.035 0.029 0.030 0.058 0.043 0.032 0.045 
0821 FU 1.412 10.859 11.201 11.453 11.250 11.493 11.228 11.395 11.108 11.256 11.084 0.088 0.041 0.088 0.044 0.038 0.028 0.067 0.042 0.030 0.045 
0823 FU 0.476 13.942 14.279 14.526 14.394 14.558 14.324 14.416 14.162 14.318 14.247 0.147 0.096 0.184 0.072 0.066 0.071 0.098 0.062 0.073 0.061 
0825 FU 0.895 12.616 12.817 12.966 12.988 13.179 12.882 13.034 12.810 12.878 12.865 0.053 0.038 0.071 0.033 0.027 0.029 0.056 0.029 0.031 0.035 
