host id period V dV I dI NIR dNIR [OH]
U9391 141458 37.15 27.602 0.06 26.538 0.073 25.51 0.32 8.717
U9391 171843 37.68 27.852 0.152 26.454 0.121 25.11 0.34 8.754
U9391 122299 39.08 27.903 0.177 26.512 0.116 25.66 0.51 8.885
U9391 124125 39.93 27.496 0.096 26.506 0.092 25.75 0.26 8.734
U9391 168368 43.19 27.247 0.047 26.216 0.078 25.11 0.32 8.875
U9391 194365 43.66 27.536 0.105 26.404 0.078 25.79 0.4 8.905
U9391 165258 44.48 28.697 0.241 27.345 0.156 26.04 0.4 8.838
U9391 118457 44.89 27.904 0.105 26.593 0.104 25.5 0.19 8.637
U9391 210838 45.19 27.16 0.083 26.126 0.06 24.66 0.25 8.81
U9391 178622 52.02 27.326 0.105 25.971 0.054 24.65 0.45 8.988
U9391 147432 53.05 27.703 0.152 26.297 0.095 25.53 0.43 9.005
U9391 187232 55.17 28.234 0.191 26.954 0.117 25.38 0.41 8.94
U9391 201082 56.93 27.085 0.059 26.173 0.056 25.1 0.14 8.712
U9391 129389 70.53 26.399 0.064 25.389 0.032 24.38 0.24 8.912
U9391 180785 71.32 27.018 0.064 25.654 0.048 24.49 0.23 8.863
U9391 169515 82.99 27.297 0.078 25.942 0.055 24.59 0.28 8.946
