id z_hel z_cmb dz m dm
05D2nn 0.8700000048 0.8721609712 0.009999999776 24.3402 0.1332
05D2ob 0.9240000248 0.9262290001 0.001000000047 24.7687 0.10935
05D3cf 0.4189999998 0.4195660055 0.001000000047 22.59095 0.12095
05D3cq 0.8899999857 0.8907259703 0.001000000047 24.1804 0.14085
05D3dd 0.4799999893 0.480565995 0.009999999776 22.7752 0.1151
05D3gp 0.5799999833 0.5806009769 0.009999999776 23.36785 0.1608
05D3ha 0.8050000072 0.8056920171 0.001000000047 24.09575 0.1555
05D3hs 0.6639999747 0.6646350026 0.001000000047 23.6337 0.1611
05D3jb 0.7450000048 0.745661974 0.001000000047 24.00735 0.1527
05D3jk 0.7360000014 0.7366870046 0.001000000047 23.77845 0.1399
05D3jr 0.3700000048 0.370528996 0.009999999776 22.04575 0.11295
05D3kp 0.8500000238 0.8507260084 0.009999999776 24.31865 0.1304
05D3kx 0.2189999968 0.2194589972 0.001000000047 20.8469 0.1023
05D3lb 0.6470000148 0.6476370096 0.001000000047 23.6259 0.1613
05D3lr 0.6000000238 0.6006010175 0.009999999776 23.4022 0.15455
05D3mn 0.7599999905 0.7606949806 0.001000000047 23.92525 0.14995
05D3mx 0.4699999988 0.470569998 0.009999999776 22.804 0.1221
05D4af 0.4990000129 0.4973750114 0.001000000047 22.9275 0.13225
05D4av 0.5090000033 0.5073670149 0.001000000047 22.9705 0.1253
05D4bf 0.5889999866 0.5872809887 0.001000000047 23.44375 0.14055
05D4bj 0.7009999752 0.6991609931 0.001000000047 23.77905 0.15635
05D4cn 0.7630000114 0.7610840201 0.001000000047 24.05415 0.16035
05D4cs 0.7900000215 0.788056016 0.009999999776 24.1069 0.13815
05D4dt 0.4070000052 0.4054740071 0.001000000047 22.564 0.11045
05D4dy 0.8100000024 0.8080430031 0.009999999776 24.55735 0.16345
05D4ej 0.5849999785 0.5832849741 0.001000000047 23.6081 0.12955
05D4ev 0.7220000029 0.7201349735 0.001000000047 24.0226 0.19335
05D4fg 0.8389999866 0.8369989991 0.001000000047 24.3054 0.1427
05D4gw 0.8080000281 0.8060359955 0.001000000047 24.2544 0.1837
06D2bk 0.4990000129 0.5007339716 0.001000000047 23.0505 0.13595
06D2cc 0.5320000052 0.533773005 0.001000000047 22.9345 0.1665
06D2ce 0.8199999928 0.8221110106 0.009999999776 24.1676 0.18525
06D2fb 0.123999998 0.1253030002 0.001000000047 19.4684 0.10355
06D2gb 0.4420000017 0.4436739981 0.001000000047 22.57415 0.1349
06D3cc 0.6830000281 0.6836559772 0.001000000047 23.9441 0.2905
06D3do 0.726000011 0.7266759872 0.001000000047 23.90005 0.1628
06D3ed 0.4040000141 0.4045459926 0.001000000047 22.44625 0.1075
06D3em 0.6899999976 0.690648973 0.009999999776 23.7527 0.18375
06D3et 0.5759999752 0.5766090155 0.001000000047 23.2437 0.1229
06D3gh 0.7200000286 0.7206770182 0.001000000047 23.87645 0.2029
06D4bo 0.5519999862 0.550311029 0.001000000047 23.16815 0.1249
06D4ce 0.8500000238 0.8479800224 0.009999999776 24.3105 0.16975
06D4co 0.4370000064 0.4354420006 0.001000000047 22.36675 0.109
06D4dh 0.3030000031 0.3015860021 0.001000000047 21.64245 0.0939
03D1aw 0.5820000172 0.580730021 0.004999999888 23.52355 0.1372
03D1bp 0.3470000029 0.3459329903 0.001000000047 22.11525 0.111
03D1fc 0.3319999874 0.3309369981 0.001000000047 21.7829 0.10685
03D3aw 0.449000001 0.4495590031 0.001000000047 22.78895 0.14135
03D3ba 0.291200012 0.2917160094 0.0003000000142 21.47215 0.12535
03D3cd 0.4607000053 0.4612720013 0.0005000000237 22.62945 0.13775
03D4at 0.6340000033 0.6322289705 0.001000000047 23.66065 0.20445
03D4cj 0.2700000107 0.2686200142 0.009999999776 21.1762 0.0993
03D4cy 0.9269999862 0.9249119759 0.001000000047 24.7416 0.1923
03D4dh 0.6269999743 0.625229001 0.0003999999899 23.46015 0.1303
03D4dy 0.6100000143 0.6082569957 0.009999999776 23.3767 0.1266
03D4gf 0.5799999833 0.5782870054 0.009999999776 23.2373 0.13895
04D1aj 0.7210000157 0.7196329832 0.009999999776 23.82525 0.2057
04D1de 0.7680000067 0.7665960193 0.001000000047 24.24705 0.1593
04D1hd 0.3689999878 0.3679090142 0.001000000047 22.24455 0.1019
04D1hy 0.8500000238 0.8485159874 0.009999999776 24.33175 0.14855
04D1jd 0.7779999971 0.7766010165 0.001000000047 24.0942 0.17835
04D1kj 0.5849999785 0.583747983 0.001000000047 23.2686 0.09915
04D1oh 0.5899999738 0.5887269974 0.009999999776 23.30085 0.13005
04D1pc 0.7699999809 0.7685930133 0.001000000047 24.2078 0.16885
04D1pg 0.5149999857 0.5137990117 0.001000000047 23.12745 0.1329
04D1pu 0.6389999986 0.637706995 0.001000000047 23.37 0.2329
04D1rh 0.4359999895 0.4348660111 0.001000000047 22.5623 0.1145
04D1sa 0.5849999785 0.5837489963 0.001000000047 23.46355 0.14025
04D1sk 0.6633999944 0.6620640159 0.0005000000237 23.74875 0.17955
04D2an 0.6200000048 0.6218810081 0.009999999776 23.4108 0.1628
04D2fp 0.4149999917 0.4166379869 0.001000000047 22.5154 0.11755
04D2gb 0.4499999881 0.4516879916 0.009999999776 22.36265 0.1377
04D2gp 0.7319999933 0.7340040207 0.001000000047 24.04855 0.24055
04D2ja 0.7400000095 0.7420160174 0.001000000047 24.26275 0.21515
04D2mc 0.34799999 0.3495660126 0.001000000047 21.74 0.12
04D2mj 0.5130000114 0.514752984 0.001000000047 23.18845 0.1355
04D3cy 0.6430000067 0.6436439753 0.001000000047 23.60755 0.1943
04D3df 0.4699999988 0.4705829918 0.009999999776 22.65205 0.12925
04D3ez 0.2630000114 0.2634850144 0.0005000000237 21.15515 0.1079
04D3fq 0.7419999838 0.7426940203 0.001000000047 23.92255 0.19885
04D3gx 0.9100000262 0.9107490182 0.009999999776 24.6116 0.16365
04D3kr 0.3370000124 0.3375320137 0.001000000047 21.9137 0.10655
04D3lp 0.9829999804 0.9837729931 0.001000000047 24.92305 0.1439
04D3mk 0.8130000234 0.813692987 0.001000000047 24.26675 0.14105
04D3nc 0.8169999719 0.8177289963 0.001000000047 24.3431 0.12085
04D3nr 0.9599999785 0.9607470036 0.009999999776 24.5736 0.1577
04D3oe 0.7559999824 0.7566840053 0.001000000047 24.03965 0.1583
04D4bk 0.8799999952 0.8779659867 0.009999999776 24.42165 0.14325
04D4dm 0.8109999895 0.8090270162 0.001000000047 24.20795 0.1668
04D4fx 0.6290000081 0.6272339821 0.001000000047 23.4134 0.138
04D4hf 0.9359999895 0.9338939786 0.009999999776 24.7653 0.2009
04D4ib 0.699000001 0.6971589923 0.001000000047 23.78265 0.16195
04D4id 0.7689999938 0.7670699954 0.001000000047 24.3849 0.17855
04D4ii 0.8659999967 0.8639720082 0.001000000047 24.39625 0.15285
04D4in 0.5159999728 0.5143489838 0.0005000000237 22.98745 0.11725
04D4ju 0.4720000029 0.4703939855 0.001000000047 23.1005 0.141
04D4jy 0.9300000072 0.9279040098 0.009999999776 24.7789 0.1829
05D1cb 0.6320000291 0.630704999 0.001000000047 23.4092 0.1432
05D1ck 0.6169999838 0.615704 0.001000000047 23.56625 0.1433
05D1dn 0.5659999847 0.5647469759 0.001000000047 23.2891 0.13595
05D1ee 0.5590000153 0.5577489734 0.001000000047 23.2494 0.1349
05D1eo 0.7369999886 0.7356140018 0.001000000047 24.06925 0.19205
05D1hk 0.2630000114 0.2619889975 0.001000000047 21.15835 0.1082
05D1if 0.7630000114 0.7615870237 0.001000000047 23.97575 0.15445
05D1iz 0.8600000143 0.8585230112 0.009999999776 24.54425 0.17845
05D1kl 0.5600000024 0.5587480068 0.001000000047 23.6061 0.15165
05D2ac 0.4790000021 0.4807099998 0.001000000047 22.74835 0.1138
05D2ay 0.9200000167 0.922228992 0.009999999776 24.57175 0.18725
05D2bv 0.4740000069 0.4757139981 0.001000000047 22.6952 0.109
05D2by 0.8909999728 0.89319098 0.001000000047 24.5781 0.1577
05D2ci 0.6299999952 0.6318889856 0.001000000047 23.1617 0.17705
05D2ct 0.7340000272 0.7360150218 0.001000000047 24.02845 0.2108
05D2dw 0.4169999957 0.4186399877 0.001000000047 22.38625 0.1152
05D2eb 0.5339999795 0.535777986 0.001000000047 22.98355 0.1266
05D2fq 0.7329999804 0.7350040078 0.001000000047 24.09175 0.17825
05D2he 0.6079999804 0.6098669767 0.001000000047 23.5447 0.14865
05D2le 0.6999999881 0.7019760013 0.001000000047 23.8387 0.16475
05D2my 0.9810000062 0.9832890034 0.001000000047 24.78095 0.143
05D2nt 0.7570000291 0.7590379715 0.001000000047 24.0557 0.15165
05D3ax 0.6430000067 0.6436390281 0.001000000047 23.6045 0.2013
05D3ci 0.5149999857 0.5155850053 0.001000000047 23.02365 0.1762
05D3cx 0.8050000072 0.8056929708 0.001000000047 24.0139 0.1301
05D3dh 0.8000000119 0.8006939888 0.009999999776 23.82255 0.1606
05D3gv 0.7149999738 0.7156490088 0.001000000047 23.84395 0.19425
05D3hh 0.7659999728 0.7666810155 0.001000000047 24.2307 0.1806
05D3ht 0.9010000229 0.9017329812 0.001000000047 24.5128 0.1511
05D3jh 0.7179999948 0.7186769843 0.001000000047 23.68915 0.15095
05D3jq 0.5789999962 0.5795980096 0.001000000047 23.1779 0.1197
05D3km 0.9599999785 0.96073699 0.009999999776 24.80925 0.14255
05D3kt 0.6480000019 0.6486369967 0.001000000047 23.53665 0.159
05D3la 0.9359999895 0.936751008 0.001000000047 24.4717 0.1405
05D3lc 0.4609999955 0.4615609944 0.001000000047 22.76265 0.11115
05D3mh 0.6700000167 0.6706510186 0.009999999776 23.78495 0.1775
05D3mq 0.2460000068 0.2464900017 0.001000000047 21.16055 0.10805
05D4ag 0.6399999857 0.6382300258 0.009999999776 23.49005 0.184
05D4be 0.5370000005 0.5353230238 0.001000000047 23.06945 0.11085
05D4bi 0.7749999762 0.7730759978 0.001000000047 24.17605 0.17625
05D4bm 0.3720000088 0.3705079854 0.001000000047 22.15255 0.1043
05D4cq 0.7009999752 0.6991639733 0.001000000047 23.88895 0.1728
05D4cw 0.375 0.3735089898 0.001000000047 22.11185 0.1039
05D4dw 0.8550000191 0.852989018 0.001000000047 24.3052 0.1508
05D4ef 0.6050000191 0.6032680273 0.001000000047 23.58805 0.1429
05D4ek 0.5360000134 0.5343310237 0.001000000047 22.9223 0.1289
05D4ff 0.40200001 0.4004809856 0.001000000047 22.2601 0.1151
05D4fo 0.3729999959 0.3715040088 0.001000000047 22.20135 0.10745
05D4hn 0.8420000076 0.8399999738 0.001000000047 24.0253 0.15175
06D2ca 0.5310000181 0.5327720046 0.001000000047 23.059 0.11385
06D2cd 0.9300000072 0.9322379827 0.001000000047 24.704 0.21015
06D2ck 0.5519999862 0.5538039804 0.001000000047 23.2838 0.1242
06D2ga 0.8399999738 0.8421319723 0.009999999776 24.3261 0.1858
06D3bz 0.7269999981 0.7276719809 0.001000000047 23.8687 0.19785
06D3df 0.4420000017 0.4425449967 0.001000000047 22.67285 0.1137
06D3dt 0.2820000052 0.2825079858 0.001000000047 21.5746 0.1073
06D3el 0.5189999938 0.5196080208 0.001000000047 23.03865 0.109
06D3en 1.059999943 1.060798049 0.009999999776 24.6873 0.16415
06D3fp 0.2680000067 0.2684859931 0.001000000047 21.24725 0.1051
06D3gn 0.25 0.2504960001 0.001000000047 21.1763 0.1114
06D4ba 0.6999999881 0.6981620193 0.009999999776 23.7924 0.2171
06D4bw 0.7319999933 0.7301229835 0.001000000047 23.7684 0.19115
06D4cl 1.0 0.9978209734 0.009999999776 24.6122 0.0953
06D4cq 0.4110000134 0.4094659984 0.001000000047 22.451 0.10895
744 0.1282480061 0.1269399971 1.999999949e-05 19.5429 0.11965
1112 0.2576090097 0.2560899854 2.900000072e-05 21.3344 0.1818
1241 0.08982212842 0.08848279715 1.599999996e-05 18.64345 0.10605
1371 0.1193514019 0.1179807708 2.400000085e-05 19.19345 0.0991
1580 0.183999002 0.1832199991 9.999999747e-05 20.2951 0.1284
1794 0.1419080049 0.1406999975 1.999999949e-05 19.871 0.11635
2031 0.1529989988 0.1518599987 0.0005000000237 19.7933 0.10325
2102 0.09509900212 0.0939470008 0.0 18.889 0.10285
2165 0.2879959941 0.2866199911 0.0 21.6827 0.1504
2422 0.2649939954 0.2634899914 0.0 21.3576 0.14295
2635 0.1436930001 0.1430999935 0.0005000000237 19.79675 0.1047
2689 0.1614893973 0.1603558511 4.600000102e-05 19.9329 0.1156
2916 0.1241979972 0.1230299994 0.0005000000237 19.3948 0.11665
2992 0.1266043037 0.1260800809 1.70000003e-05 19.36855 0.113
3080 0.1744039953 0.173150003 2.499999937e-05 20.15345 0.09925
3087 0.1655099988 0.1643099934 1.499999962e-05 20.03175 0.1083
3317 0.1610060036 0.1598999947 0.0005000000237 19.92285 0.11045
3377 0.2450979948 0.2444799989 0.0005000000237 20.86815 0.1298
3451 0.2498369962 0.2483499944 4.099999933e-05 20.98175 0.13435
4046 0.2769950032 0.2754400074 0.0005000000237 21.37075 0.15505
4241 0.3319920003 0.3305099905 7.500000356e-05 21.9321 0.1589
4679 0.3323909938 0.3310300112 0.0 21.82885 0.1481
5103 0.1619777977 0.1605844349 1.200000042e-05 19.98615 0.10955
5533 0.2202810049 0.2188699991 2.700000005e-05 20.87005 0.13435
5549 0.1212437004 0.1199194863 2.200000017e-05 19.36835 0.1021
5635 0.1797859967 0.1783899963 0.0005000000237 20.72835 0.1286
